instrument validation (upper bound must equal the known exact value):
       K5: known   1, upper    1  OK
       K6: known   3, upper    3  OK
       K7: known   9, upper    9  OK
       K8: known  18, upper   18  OK
     K4,4: known   4, upper    4  OK
     K5,5: known  16, upper   16  OK

         family   n  |V|  |E|   DS21  upper  verdict
  K_{1,1,1,2,n}   9   14   54     82     83  consistent (upper +1)   (3.4s)
  K_{1,1,1,2,n}  10   15   59    100    102  consistent (upper +2)   (4.4s)
  K_{1,1,1,2,n}  11   16   64    122    127  consistent (upper +5)   (6.1s)
  K_{1,1,1,2,n}  12   17   69    144    146  consistent (upper +2)   (8.0s)
    K_{1,2,2,n}   1    6   13      1      1  consistent (tight)   (0.1s)
    K_{1,2,2,n}   2    7   18      3      3  consistent (tight)   (0.1s)
    K_{1,2,2,n}   3    8   23      8      8  consistent (tight)   (0.3s)
    K_{1,2,2,n}   4    9   28     14     15  consistent (upper +1)   (0.5s)
    K_{1,2,2,n}   5   10   33     23     23  consistent (tight)   (0.8s)
    K_{1,2,2,n}   6   11   38     33     34  consistent (upper +1)   (1.2s)
    K_{1,2,2,n}   7   12   43     46     46  consistent (tight)   (1.8s)
    K_{1,2,2,n}   8   13   48     60     61  consistent (upper +1)   (2.5s)
    K_{1,2,2,n}   9   14   53     77     79  consistent (upper +2)   (3.4s)
    K_{1,2,2,n}  10   15   58     95     97  consistent (upper +2)   (4.6s)
    K_{1,2,2,n}  11   16   63    116    118  consistent (upper +2)   (5.4s)
    K_{1,2,2,n}  12   17   68    138    141  consistent (upper +3)   (6.8s)
    K_{2,2,2,n}   1    7   18      3      3  consistent (tight)   (0.1s)
    K_{2,2,2,n}   2    8   24      6      6  consistent (tight)   (0.3s)
    K_{2,2,2,n}   3    9   30     15     16  consistent (upper +1)   (0.5s)
    K_{2,2,2,n}   4   10   36     24     26  consistent (upper +2)   (1.0s)
    K_{2,2,2,n}   5   11   42     39     41  consistent (upper +2)   (1.5s)
    K_{2,2,2,n}   6   12   48     54     56  consistent (upper +2)   (2.3s)
    K_{2,2,2,n}   7   13   54     75     77  consistent (upper +2)   (3.4s)
    K_{2,2,2,n}   8   14   60     96    106  consistent (upper +10)   (4.8s)
    K_{2,2,2,n}   9   15   66    123    134  consistent (upper +11)   (6.9s)
    K_{2,2,2,n}  10   16   72    150    156  consistent (upper +6)   (9.4s)
    K_{2,2,2,n}  11   17   78    183    197  consistent (upper +14)   (12.8s)
    K_{2,2,2,n}  12   18   84    216    236  consistent (upper +20)   (15.9s)

=== refutations ===
none
