0|7,8|2,5|3,4|6|1
8|6,7|2,4|3,5|0|1
0|6|7,8|3,4,5|1|2
0|8|6,7|3,4,5|1|2
8|2,6|7|3,4,5|0|1
8|1,7|2,5|3,4|6|0
7|1,6|2,5|3,4|8|0
5|7|2,3,4|6,8|0|1
5|6|7,8|2,3,4|0|1
7|8|5,6|2,3,4|0|1
2,4|7|5,6|3,8|0|1
8|5,6|2,4|3,7|0|1
2,4|3|7,8|5,6|0|1
8|5|2,3,4|6,7|0|1
2,4|5|7,8|3,6|0|1
7|1,5|2,4|3,6|8|0
7,8|6|2,4|3,5|0|1
