  validate cr(K7) = 9, expected 9  OK
  validate cr(K8) = 18, expected 18  OK
  validate cr(K5,5) = 16, expected 16  OK

=== less balanced triples (max part >= 3x min) ===
               graph  |V|  |E|  Harborth  found  verdict
      K_(2, 3, 5, 5)   15   81       219    221  above by 2   (20.4s)
      K_(2, 4, 4, 5)   15   82       220    233  above by 13   (21.0s)
      K_(3, 3, 3, 6)   15   81       219    225  above by 6   (19.8s)
      K_(3, 3, 4, 5)   15   83       231    236  above by 5   (20.8s)
      K_(3, 4, 4, 4)   15   84       234    246  above by 12   (21.2s)
-- k = 4 parts: meets 28/78 = 0.36

=== k = 5 parts ===
               graph  |V|  |E|  Harborth  found  verdict
   K_(1, 1, 1, 1, 3)    7   18         5      5  meets bound   (0.2s)
   K_(1, 1, 1, 2, 2)    7   19         4      4  meets bound   (0.2s)
   K_(1, 1, 1, 1, 4)    8   22         8      8  meets bound   (0.3s)
   K_(1, 1, 1, 2, 3)    8   24        10     10  meets bound   (0.4s)
   K_(1, 1, 2, 2, 2)    8   25         9     10  above by 1   (0.4s)
   K_(1, 1, 1, 1, 5)    9   26        13     13  meets bound   (0.4s)
   K_(1, 1, 1, 2, 4)    9   29        16     16  meets bound   (0.6s)
   K_(1, 1, 1, 3, 3)    9   30        20     20  meets bound   (0.7s)
   K_(1, 1, 2, 2, 3)    9   31        18     19  above by 1   (0.7s)
   K_(1, 2, 2, 2, 2)    9   32        18     18  meets bound   (0.8s)
   K_(1, 1, 1, 1, 6)   10   30        18     18  meets bound   (0.6s)
   K_(1, 1, 1, 2, 5)   10   34        26     26  meets bound   (0.9s)
   K_(1, 1, 1, 3, 4)   10   36        31     31  meets bound   (1.1s)
   K_(1, 1, 2, 2, 4)   10   37        29     30  above by 1   (1.2s)
   K_(1, 1, 2, 3, 3)   10   38        34     34  meets bound   (1.3s)
   K_(1, 2, 2, 2, 3)   10   39        33     34  above by 1   (1.5s)
   K_(2, 2, 2, 2, 2)   10   40        30     34  above by 4   (1.6s)
   K_(1, 1, 1, 2, 6)   11   39        36     36  meets bound   (1.4s)
   K_(1, 1, 1, 3, 5)   11   42        47     47  meets bound   (1.8s)
   K_(1, 1, 1, 4, 4)   11   43        48     49  above by 1   (2.0s)
   K_(1, 1, 2, 2, 5)   11   43        44     44  meets bound   (1.9s)
   K_(1, 1, 2, 3, 4)   11   45        51     51  meets bound   (2.3s)
   K_(1, 1, 3, 3, 3)   11   46        58     58  meets bound   (2.5s)
   K_(1, 2, 2, 2, 4)   11   46        51     53  above by 2   (2.5s)
   K_(1, 2, 2, 3, 3)   11   47        55     57  above by 2   (2.6s)
   K_(2, 2, 2, 2, 3)   11   48        54     58  above by 4   (2.8s)
   K_(1, 1, 1, 3, 6)   12   48        64     65  above by 1   (2.8s)
   K_(1, 1, 1, 4, 5)   12   50        72     72  meets bound   (3.1s)
   K_(1, 1, 2, 2, 6)   12   49        61     65  above by 4   (2.8s)
   K_(1, 1, 2, 3, 5)   12   52        76     78  above by 2   (3.4s)
   K_(1, 1, 2, 4, 4)   12   53        76     80  above by 4   (3.7s)
   K_(1, 1, 3, 3, 4)   12   54        84     87  above by 3   (3.9s)
   K_(1, 2, 2, 2, 5)   12   53        75     80  above by 5   (3.7s)
   K_(1, 2, 2, 3, 4)   12   55        82     87  above by 5   (4.1s)
   K_(1, 2, 3, 3, 3)   12   56        89     90  above by 1   (4.4s)
   K_(2, 2, 2, 2, 4)   12   56        78     84  above by 6   (4.4s)
   K_(2, 2, 2, 3, 3)   12   57        88     92  above by 4   (4.6s)
   K_(1, 1, 1, 4, 6)   13   57        98    100  above by 2   (4.6s)
   K_(1, 1, 1, 5, 5)   13   58       105    107  above by 2   (4.9s)
   K_(1, 1, 2, 3, 6)   13   59       102    106  above by 4   (5.2s)
   K_(1, 1, 2, 4, 5)   13   61       110    113  above by 3   (5.8s)
   K_(1, 1, 3, 3, 5)   13   62       120    120  meets bound   (6.2s)
   K_(1, 1, 3, 4, 4)   13   63       120    126  above by 6   (6.5s)
   K_(1, 2, 2, 2, 6)   13   60       102    107  above by 5   (5.4s)
   K_(1, 2, 2, 3, 5)   13   63       116    121  above by 5   (7.1s)
   K_(1, 2, 2, 4, 4)   13   64       120    125  above by 5   (8.0s)
   K_(1, 2, 3, 3, 4)   13   65       126    133  above by 7   (8.0s)
   K_(1, 3, 3, 3, 3)   13   66       137    137  meets bound   (8.8s)
   K_(2, 2, 2, 2, 5)   13   64       114    121  above by 7   (7.2s)
   K_(2, 2, 2, 3, 4)   13   66       125    129  above by 4   (7.0s)
   K_(2, 2, 3, 3, 3)   13   67       133    136  above by 3   (7.5s)
   K_(1, 1, 1, 5, 6)   14   66       142    143  above by 1   (7.2s)
   K_(1, 1, 2, 4, 6)   14   69       147    153  above by 6   (8.1s)
   K_(1, 1, 2, 5, 5)   14   70       158    159  above by 1   (10.1s)
   K_(1, 1, 3, 3, 6)   14   70       158    162  above by 4   (12.3s)
   K_(1, 1, 3, 4, 5)   14   72       169    173  above by 4   (13.8s)
   K_(1, 1, 4, 4, 4)   14   73       168    180  above by 12   (14.0s)
   K_(1, 2, 2, 3, 6)   14   71       155    165  above by 10   (12.7s)
   K_(1, 2, 2, 4, 5)   14   73       167    174  above by 7   (14.3s)
   K_(1, 2, 3, 3, 5)   14   74       176    183  above by 7   (15.4s)
   K_(1, 2, 3, 4, 4)   14   75       177    184  above by 7   (15.5s)
   K_(1, 3, 3, 3, 4)   14   76       188    196  above by 8   (16.2s)
   K_(2, 2, 2, 2, 6)   14   72       150    161  above by 11   (13.2s)
   K_(2, 2, 2, 3, 5)   14   75       175    183  above by 8   (15.5s)
   K_(2, 2, 2, 4, 4)   14   76       172    195  above by 23   (16.0s)
   K_(2, 2, 3, 3, 4)   14   77       186    197  above by 11   (16.9s)
   K_(2, 3, 3, 3, 3)   14   78       196    204  above by 8   (17.8s)
   K_(1, 1, 1, 6, 6)   15   75       192    196  above by 4   (15.3s)
   K_(1, 1, 2, 5, 6)   15   79       208    217  above by 9   (18.2s)
   K_(1, 1, 3, 4, 6)   15   81       221    228  above by 7   (19.8s)
   K_(1, 1, 3, 5, 5)   15   82       233    238  above by 5   (20.5s)
   K_(1, 1, 4, 4, 5)   15   83       232    243  above by 11   (21.6s)
   K_(1, 2, 2, 4, 6)   15   82       221    233  above by 12   (20.4s)
   K_(1, 2, 2, 5, 5)   15   83       228    240  above by 12   (21.4s)
   K_(1, 2, 3, 3, 6)   15   83       229    242  above by 13   (21.5s)
   K_(1, 2, 3, 4, 5)   15   85       241    254  above by 13   (23.1s)
   K_(1, 2, 4, 4, 4)   15   86       246    259  above by 13   (24.4s)
   K_(1, 3, 3, 3, 5)   15   86       256    261  above by 5   (25.2s)
   K_(1, 3, 3, 4, 4)   15   87       255    264  above by 9   (26.6s)
   K_(2, 2, 2, 3, 6)   15   84       228    245  above by 17   (22.1s)
   K_(2, 2, 2, 4, 5)   15   86       239    256  above by 17   (23.4s)
   K_(2, 2, 3, 3, 5)   15   87       251    262  above by 11   (22.1s)
   K_(2, 2, 3, 4, 4)   15   88       254    269  above by 15   (23.1s)
   K_(2, 3, 3, 3, 4)   15   89       265    282  above by 17   (23.6s)
   K_(3, 3, 3, 3, 3)   15   90       281    286  above by 5   (22.5s)
-- k = 5 parts: meets 20/85 = 0.24

=== k = 6 parts ===
               graph  |V|  |E|  Harborth  found  verdict
K_(1, 1, 1, 1, 1, 3)    8   25        12     12  meets bound   (0.4s)
